title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
MIDDLE OF THE NIGHT,Elley Duhé,0.41,0.611,4,-8.271,0,0.0467,0.0228,0.0,0.116,0.0899,185.727
Toxic,BoyWithUke,0.594,0.612,8,-6.627,0,0.363,0.835,0.0,0.461,0.687,179.629
Dandelions,Ruth B.,0.609,0.692,1,-2.958,1,0.0259,0.0157,0.0,0.0864,0.454,116.959
she's all i wanna be,Tate McRae,0.614,0.644,2,-5.372,0,0.0426,0.0134,7.07e-06,0.117,0.651,160.036
MONTERO (Call Me By Your Name),Lil Nas X,0.593,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.781
"Surface Pressure - From ""Encanto""/Soundtrack Version",Jessica Darrow,0.65,0.584,2,-8.286,1,0.307,0.0174,1.54e-06,0.042,0.37,180.088
Oh My God,Adele,0.534,0.725,1,-3.906,1,0.046,0.091,0.0,0.0264,0.55,88.098
In Da Club,50 Cent,0.899,0.713,6,-2.752,0,0.366,0.255,0.0,0.0708,0.777,90.051
Stairway to Heaven - Remaster,Led Zeppelin,0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433
Hotel California - 2013 Remaster,Eagles,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125
Comfortably Numb - 2011 Remastered Version,Pink Floyd,0.472,0.366,11,-12.595,0,0.0286,0.15,0.308,0.0837,0.171,127.167
Money,Pink Floyd,0.468,0.536,11,-10.422,0,0.144,0.024,0.00199,0.269,0.785,126.256
The Chain - 2004 Remaster,Fleetwood Mac,0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553
Free Fallin',Tom Petty,0.617,0.435,5,-13.547,1,0.0256,0.178,0.0,0.0822,0.601,84.382
Sweet Home Alabama,Lynyrd Skynyrd,0.597,0.605,7,-12.013,1,0.0255,0.181,0.000331,0.118,0.886,97.782
(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,The Rolling Stones,0.725,0.853,2,-7.842,1,0.0353,0.0348,0.127,0.196,0.904,136.282
House of the Rising Sun,The Animals,0.316,0.484,9,-9.11,0,0.0308,0.000334,0.00445,0.0912,0.299,117.363
Sweet Dreams (Are Made of This) - Remastered,Eurythmics,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135
Livin' On A Prayer,Bon Jovi,0.559,0.687,0,-10.912,1,0.0311,0.0591,3.59e-05,0.0896,0.854,122.666
Paint It Black,The Rolling Stones,0.504,0.845,5,-7.799,0,0.0938,0.0139,0.0419,0.359,0.736,159.508
Baba O'Riley,The Who,0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292
Hey Jude - Remastered,The Beatles,0.394,0.566,10,-9.435,1,0.0261,0.0304,3.64e-05,0.101,0.631,148.029
Bohemian Rhapsody - Remastered 2011,Queen,0.414,0.404,0,-9.928,0,0.0499,0.271,0.0,0.3,0.224,71.105
Highway to Hell,AC/DC,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728
How Deep Is Your Love,Bee Gees,0.615,0.358,5,-10.092,0,0.0271,0.203,3.85e-06,0.198,0.661,104.992
Let's Dance - 1999 Remaster,David Bowie,0.619,0.703,10,-9.414,0,0.0525,0.00388,0.205,0.163,0.709,115.043
Sweet Child O' Mine,Guns N' Roses,0.454,0.91,6,-7.766,1,0.0448,0.0866,0.0996,0.116,0.629,125.116
Sympathy For The Devil,The Rolling Stones,0.566,0.673,9,-10.814,1,0.306,0.565,1.13e-06,0.0438,0.583,114.385
Come On Eileen,Dexys Midnight Runners,0.45,0.658,2,-7.064,1,0.0472,0.648,3.14e-06,0.264,0.781,106.799
Welcome To The Jungle,Guns N' Roses,0.447,0.954,8,-8.069,1,0.0751,0.0235,0.403,0.298,0.331,123.453
Rolling in the Deep,Adele,0.729,0.756,8,-5.119,1,0.0294,0.131,0.0,0.0527,0.522,104.945
Don't Stop Me Now - Remastered 2011,Queen,0.563,0.865,5,-5.277,1,0.16,0.0472,0.000191,0.77,0.601,156.271
Hallelujah,Jeff Buckley,0.339,0.143,0,-10.78,1,0.0317,0.921,0.000636,0.372,0.0948,101.213
Dream On,Aerosmith,0.307,0.433,1,-10.057,1,0.029,0.388,9.08e-05,0.332,0.224,160.9
Rebel Yell,Billy Idol,0.53,0.864,4,-4.948,0,0.061,0.000753,0.000459,0.354,0.484,166.312
Wonderwall - Remastered,Oasis,0.372,0.865,2,-4.918,1,0.0381,0.000453,0.0,0.234,0.478,174.53
Who'll Stop The Rain,Creedence Clearwater Revival,0.598,0.797,7,-6.793,1,0.0332,0.0424,0.000407,0.0717,0.622,123.566
"Oh, Pretty Woman",Roy Orbison,0.609,0.584,9,-9.734,1,0.0353,0.725,0.0,0.0854,0.954,127.306
Imagine - Remastered 2010,John Lennon,0.547,0.257,0,-12.358,1,0.0252,0.907,0.183,0.0935,0.169,75.752
Your Song,Elton John,0.551,0.27,3,-12.808,1,0.0326,0.851,7.04e-06,0.0966,0.289,128.221
Africa,TOTO,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718
Light My Fire,The Doors,0.413,0.725,3,-5.787,0,0.0324,0.369,2.16e-05,0.0905,0.44,124.618
Roxanne,The Police,0.611,0.683,0,-9.872,1,0.426,0.0535,4.23e-06,0.0378,0.65,133.149
Kiss,Prince,0.898,0.271,7,-12.238,1,0.091,0.0135,0.00138,0.0461,0.742,111.485
Superstition - Single Version,Stevie Wonder,0.642,0.735,8,-8.866,1,0.0806,0.0172,0.000733,0.0391,0.864,99.682
I Got You (I Feel Good),James Brown & The Famous Flames,0.654,0.475,0,-8.617,1,0.0943,0.366,2.96e-06,0.302,0.684,71.826
Layla - 40th Anniversary Version / 2010 Remastered,Derek & The Dominos,0.404,0.903,1,-3.88,1,0.0668,0.577,0.297,0.287,0.498,115.672
I Ran (So Far Away),A Flock Of Seagulls,0.462,0.859,2,-5.083,1,0.0466,0.00125,0.735,0.216,0.495,146.16
Fortunate Son,Creedence Clearwater Revival,0.643,0.669,0,-7.485,1,0.0398,0.208,0.00664,0.151,0.609,132.709
Are You Gonna Be My Girl,Jet,0.613,0.953,2,-3.435,1,0.0855,0.00148,0.000582,0.152,0.537,105.046
You Make My Dreams (Come True),Daryl Hall & John Oates,0.751,0.501,5,-12.151,1,0.0551,0.234,0.112,0.0467,0.902,167.057
I Won't Back Down,Tom Petty,0.765,0.476,7,-13.487,1,0.0329,0.0504,2.76e-06,0.165,0.965,114.02
Dreams - 2004 Remaster,Fleetwood Mac,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151
Hungry Like the Wolf - 2009 Remaster,Duran Duran,0.691,0.812,0,-7.772,1,0.0558,0.0433,1.16e-06,0.299,0.685,127.568
Heart Of Glass - Special Mix,Blondie,0.694,0.577,4,-14.63,1,0.0308,0.015,0.00836,0.0853,0.845,114.478
Starman - 2012 Remaster,David Bowie,0.486,0.449,5,-10.298,1,0.0267,0.166,2.23e-06,0.54,0.549,100.456
"I Melt with You (7"" Mix)",Modern English,0.457,0.64,0,-12.231,1,0.0437,0.000384,0.000142,0.0611,0.634,156.203
Should I Stay or Should I Go - Remastered,The Clash,0.743,0.836,2,-6.465,1,0.116,0.0804,0.0,0.384,0.82,113.375
Rock the Casbah - Remastered,The Clash,0.797,0.872,9,-6.727,0,0.0575,0.291,0.0,0.284,0.866,129.885
Iris,The Goo Goo Dolls,0.315,0.715,11,-8.072,0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925
Walk Like an Egyptian,The Bangles,0.711,0.833,11,-12.756,1,0.0851,0.0144,3.46e-06,0.303,0.756,103.153
The Safety Dance,Men Without Hats,0.779,0.742,5,-8.534,1,0.0368,0.0463,5.56e-05,0.157,0.286,100.2
Ramble On - 1990 Remaster,Led Zeppelin,0.468,0.607,9,-11.367,1,0.0336,0.072,0.000852,0.225,0.886,98.429
Jessie's Girl,Rick Springfield,0.727,0.834,2,-5.851,1,0.0496,0.165,0.0,0.105,0.816,131.7
Personal Jesus,Depeche Mode,0.687,0.852,11,-5.538,1,0.0351,0.104,0.00866,0.0596,0.766,129.981
Edge of Seventeen,Stevie Nicks,0.59,0.828,0,-6.28,1,0.0439,0.277,5.57e-06,0.0868,0.636,111.353
Three Little Birds,Bob Marley & The Wailers,0.807,0.487,9,-10.456,1,0.0758,0.0102,1.98e-06,0.0501,0.651,148.491
Could You Be Loved,Bob Marley & The Wailers,0.916,0.72,0,-8.548,1,0.1,0.36,0.00016,0.0958,0.76,103.312
Someone Like You,Adele,0.559,0.33,9,-8.251,1,0.0285,0.892,0.0,0.0975,0.285,135.109
Time After Time,Cyndi Lauper,0.726,0.449,0,-9.206,1,0.0286,0.487,1.34e-06,0.0824,0.294,130.388
Dead Man's Party,Oingo Boingo,0.568,0.863,1,-10.984,1,0.0383,0.5,0.000137,0.246,0.923,161.261
Take on Me,a-ha,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412
Everybody Wants To Rule The World,Tears For Fears,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067
You Spin Me Round (Like a Record),Dead Or Alive,0.567,0.943,6,-7.992,0,0.0387,0.0312,0.0965,0.544,0.965,128.207
Sunglasses At Night,Corey Hart,0.665,0.624,10,-11.106,0,0.049,0.505,0.0104,0.518,0.717,127.083
We Got The Beat,The Go-Go's,0.587,0.994,2,-5.61,1,0.045,0.155,0.0734,0.0319,0.481,151.941
The Promise,When In Rome,0.629,0.876,0,-10.141,1,0.0444,0.0864,7.72e-05,0.0431,0.358,118.01
Everybody Have Fun Tonight,Wang Chung,0.728,0.619,9,-12.265,1,0.0379,0.0884,8.44e-05,0.039,0.747,128.845
One Thing Leads To Another,The Fixx,0.789,0.945,5,-5.219,0,0.0482,0.198,3.11e-06,0.0617,0.965,136.745
Girls Just Want to Have Fun,Cyndi Lauper,0.71,0.799,6,-4.897,1,0.0328,0.22,0.000602,0.349,0.725,120.372
What I Like About You,The Romantics,0.514,0.942,9,-8.433,1,0.0502,0.282,6.6e-05,0.17,0.912,159.847
Love My Way,The Psychedelic Furs,0.673,0.686,0,-12.194,1,0.0363,0.0223,0.000184,0.0963,0.662,126.09
Things Can Only Get Better,Howard Jones,0.752,0.743,7,-6.083,1,0.0331,0.0314,0.000117,0.128,0.832,108.254
Situation,Yazoo,0.761,0.413,6,-16.138,1,0.0595,0.0107,0.479,0.0442,0.428,118.727
Firework,Katy Perry,0.638,0.826,8,-4.968,1,0.0479,0.139,0.0,0.0803,0.649,124.072
Good Vibrations - Remastered 2001,The Beach Boys,0.396,0.473,10,-7.67,0,0.0345,0.326,0.000124,0.109,0.385,133.449
I Gotta Feeling,Black Eyed Peas,0.743,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.96
Where Is The Love?,Black Eyed Peas,0.834,0.696,5,-3.224,1,0.197,0.11,0.0,0.13,0.804,94.09
Somebody That I Used To Know,Gotye,0.864,0.495,0,-7.036,1,0.037,0.591,0.000133,0.0992,0.72,129.062
September,"Earth, Wind & Fire",0.694,0.831,9,-7.288,1,0.0301,0.165,0.000892,0.25,0.98,125.901
Ain't No Mountain High Enough - Mono,Marvin Gaye,0.62,0.813,11,-6.115,0,0.0307,0.29,0.000109,0.143,0.832,129.38
Respect,Aretha Franklin,0.805,0.558,0,-5.226,1,0.041,0.164,2.2e-05,0.0546,0.965,114.95
Born to Run,Bruce Springsteen,0.27,0.944,4,-4.199,1,0.0975,0.00501,2.05e-05,0.116,0.606,146.347
(Sittin' On) the Dock of the Bay,Otis Redding,0.769,0.367,2,-11.226,1,0.0312,0.684,1.62e-05,0.081,0.535,103.621
Stand by Me,Otis Redding,0.883,0.464,10,-11.251,1,0.0591,0.279,1.51e-05,0.0744,0.925,111.548
I Walk the Line,Johnny Cash,0.713,0.258,9,-14.59,1,0.0384,0.877,0.00606,0.0967,0.56,98.805
Yesterday - Remastered 2009,The Beatles,0.332,0.179,5,-11.83,1,0.0326,0.879,0.0,0.0886,0.315,96.529
U Can't Touch This,MC Hammer,0.867,0.517,11,-13.222,0,0.0875,0.00456,0.000339,0.0864,0.866,133.148
Summer Of '69,Bryan Adams,0.508,0.834,2,-6.205,1,0.0386,0.0183,0.0,0.0732,0.774,139.131
Wannabe,Spice Girls,0.768,0.864,11,-6.145,1,0.0324,0.101,0.0,0.162,0.891,110.008
Brown Eyed Girl,Van Morrison,0.491,0.583,7,-10.964,1,0.0376,0.185,0.0,0.406,0.908,150.566
American Pie,Don McLean,0.526,0.509,7,-10.893,1,0.0628,0.6,0.0,0.144,0.497,138.318
Come Sail Away,Styx,0.324,0.335,0,-15.595,1,0.0355,0.099,1.08e-06,0.0995,0.141,119.513
California Dreamin' - Single Version,The Mamas & The Papas,0.552,0.608,1,-9.786,0,0.0345,0.352,0.0,0.0533,0.637,112.367
Patience,Guns N' Roses,0.457,0.297,6,-12.511,1,0.0306,0.686,0.000107,0.109,0.333,120.021
Highwayman,The Highwaymen,0.67,0.351,2,-16.842,1,0.0463,0.48,0.0176,0.115,0.45,101.384
Basket Case,Green Day,0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064
Animal I Have Become,Three Days Grace,0.553,0.853,8,-3.668,1,0.0339,0.000684,0.0,0.126,0.506,122.023
Breaking the Law,Judas Priest,0.362,0.961,2,-5.664,1,0.0857,0.024,9.35e-06,0.159,0.491,164.019
Mr. Brightside,The Killers,0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033
Cemetery Gates,Pantera,0.274,0.726,9,-11.541,1,0.0449,0.000212,0.0113,0.0993,0.426,146.449
Anarchy In The UK,Sex Pistols,0.359,0.949,0,-7.649,1,0.101,0.0556,0.000396,0.236,0.212,134.118
Personal Jesus,Depeche Mode,0.682,0.742,11,-7.595,1,0.0492,0.135,0.209,0.0979,0.356,130.033
The Trooper - 2015 Remaster,Iron Maiden,0.285,0.908,4,-4.601,0,0.0705,0.0318,0.00909,0.311,0.669,159.756
Psychosocial,Slipknot,0.576,0.989,2,-1.909,1,0.112,0.00252,0.0032,0.0243,0.352,135.093
Sweet Dreams (Are Made Of This),Marilyn Manson,0.392,0.642,8,-5.267,1,0.0326,0.0048,0.486,0.296,0.129,92.698
La Grange - 2005 Remaster,ZZ Top,0.545,0.64,4,-9.937,0,0.224,0.00249,0.0304,0.196,0.606,80.544
In the End,Linkin Park,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143
Bulls On Parade,Rage Against The Machine,0.412,0.919,5,-7.291,1,0.184,0.0124,0.0601,0.424,0.572,166.367
Bad To The Bone,George Thorogood & The Destroyers,0.459,0.727,0,-11.777,1,0.0303,0.00614,0.0652,0.384,0.955,149.231
Seven Nation Army,The White Stripes,0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596
I Wanna Rock,Twisted Sister,0.504,0.911,2,-2.97,1,0.0738,0.00512,0.0123,0.355,0.671,106.244
Bitter Sweet Symphony,The Verve,0.356,0.917,9,-6.006,1,0.0479,0.0335,0.0,0.406,0.518,171.176
Black Hole Sun,Soundgarden,0.35,0.828,6,-5.373,1,0.041,0.000217,0.000161,0.0774,0.147,105.435
Sharp Dressed Man - 2008 Remaster,ZZ Top,0.601,0.859,5,-5.263,1,0.0276,0.000359,0.00124,0.0871,0.446,125.145
Freak On a Leash,Korn,0.353,0.898,2,-5.877,1,0.052,2.23e-05,0.105,0.39,0.525,103.293
Paranoid Android,Radiohead,0.251,0.848,5,-6.501,1,0.0579,0.0377,0.00591,0.0545,0.207,163.709
Whole Lotta Love - 1990 Remaster,Led Zeppelin,0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74
Toxicity,System Of A Down,0.413,0.873,8,-4.151,1,0.0536,0.000264,0.00249,0.204,0.48,116.68
The End,The Doors,0.347,0.302,0,-12.104,1,0.0291,0.163,9.17e-05,0.14,0.0332,105.702
No One Like You,Scorpions,0.601,0.928,7,-4.38,0,0.0481,0.014,0.000113,0.151,0.625,115.999
Bring Me To Life,Evanescence,0.331,0.943,4,-3.188,0,0.0698,0.00721,2.06e-06,0.242,0.296,94.612
Rainbow In The Dark,Dio,0.508,0.912,9,-8.049,0,0.0368,7.06e-05,0.403,0.0492,0.682,117.582
Du hast,Rammstein,0.64,0.922,9,-6.283,0,0.0385,0.00369,0.055,0.332,0.716,125.105
Rebel Yell,Billy Idol,0.53,0.864,4,-4.948,0,0.061,0.000753,0.000459,0.354,0.484,166.312
School's Out,Alice Cooper,0.294,0.745,5,-9.138,1,0.0461,0.05,0.125,0.676,0.347,134.364
Song 2,Blur,0.658,0.709,8,-6.736,1,0.0904,0.00188,0.00447,0.0657,0.855,129.699
Welcome To The Jungle,Guns N' Roses,0.447,0.954,8,-8.069,1,0.0751,0.0235,0.403,0.298,0.331,123.453
Californication,Red Hot Chili Peppers,0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483
Master Of Puppets,Metallica,0.543,0.836,4,-9.11,0,0.0353,0.000647,0.431,0.153,0.56,105.173
Boulevard of Broken Dreams,Green Day,0.49,0.679,8,-3.68,1,0.0309,0.00394,1.54e-05,0.0383,0.506,167.046
Walk This Way,Aerosmith,0.653,0.73,5,-10.613,1,0.043,0.0114,1.03e-05,0.0754,0.894,108.705
Thunderstruck,AC/DC,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52
More Than a Feeling,Boston,0.377,0.681,7,-8.039,1,0.0298,0.00088,0.0023,0.0504,0.285,108.789
The Rock Show,blink-182,0.41,0.959,9,-4.563,1,0.0869,0.000324,0.0,0.0766,0.83,193.155
Jumpin' Jack Flash,The Rolling Stones,0.595,0.885,3,-7.688,1,0.0518,0.0744,0.534,0.0844,0.643,137.243
Wonderwall,Oasis,0.402,0.845,2,-6.459,1,0.0319,0.000676,0.0,0.158,0.686,174.727
Sunday Bloody Sunday,U2,0.543,0.964,6,-5.687,1,0.0515,0.411,0.00205,0.047,0.777,100.456
Paranoid,Black Sabbath,0.429,0.631,4,-11.514,0,0.0769,7.85e-05,0.00411,0.175,0.376,162.734
You Give Love A Bad Name,Bon Jovi,0.541,0.96,0,-2.947,0,0.0505,0.0663,2.25e-06,0.344,0.812,122.803
Kickstart My Heart,Mötley Crüe,0.359,0.981,7,-3.622,0,0.303,0.00125,0.00236,0.284,0.271,178.98
Chop Suey!,System Of A Down,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066
Jump - 2015 Remaster,Van Halen,0.572,0.835,0,-6.219,1,0.0317,0.171,0.000377,0.0702,0.795,129.981
I Can't Dance,Genesis,0.938,0.604,3,-6.361,1,0.0439,0.462,1.19e-05,0.0354,0.869,107.53
All Along the Watchtower,Jimi Hendrix,0.438,0.805,8,-6.237,1,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253
Under the Bridge,Red Hot Chili Peppers,0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581
Numb,Linkin Park,0.496,0.863,9,-4.153,1,0.0381,0.0046,0.0,0.639,0.243,110.018
Wind Of Change,Scorpions,0.452,0.524,0,-10.108,1,0.0351,0.315,0.0,0.103,0.246,151.505
Heroes - 2017 Remaster,David Bowie,0.49,0.758,7,-6.491,1,0.0297,0.000671,0.484,0.092,0.435,112.114
Creep,Radiohead,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844
Blitzkrieg Bop - 2016 Remaster,Ramones,0.385,0.783,9,-2.533,1,0.233,0.000269,0.47,0.108,0.902,176.701
Sweet Child O' Mine,Guns N' Roses,0.454,0.91,6,-7.766,1,0.0448,0.0866,0.0996,0.116,0.629,125.116
Fortunate Son,Creedence Clearwater Revival,0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77
Won't Get Fooled Again - Original Album Version,The Who,0.686,0.92,2,-6.231,1,0.0566,0.301,0.27,0.0807,0.225,135.027
Kashmir - 1990 Remaster,Led Zeppelin,0.48,0.536,2,-11.166,1,0.0427,0.488,4.22e-05,0.155,0.581,80.617
Come As You Are,Nirvana,0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125
Come Together - Remastered 2009,The Beatles,0.533,0.376,9,-11.913,0,0.0393,0.0302,0.248,0.0926,0.187,165.007
Livin' On A Prayer,Bon Jovi,0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000214,0.294,0.795,122.511
Sympathy For The Devil,The Rolling Stones,0.728,0.681,9,-10.943,1,0.221,0.61,0.0,0.0559,0.578,115.944
I Surrender,Rainbow,0.49,0.86,7,-5.284,0,0.0573,0.132,0.0,0.215,0.795,132.673
Back In Black,AC/DC,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386
Enter Sandman,Metallica,0.577,0.828,6,-8.691,0,0.0298,0.00213,0.0114,0.0581,0.604,123.257
London Calling,The Clash,0.654,0.799,0,-6.92,1,0.0501,0.0706,0.0,0.0844,0.755,133.731
Roundabout - 2003 Remaster,Yes,0.41,0.761,4,-9.453,0,0.0687,0.0685,0.00772,0.0758,0.392,132.923
With Or Without You - Remastered,U2,0.54,0.429,2,-11.822,1,0.0285,0.000202,0.355,0.141,0.113,110.171
Space Oddity - 2015 Remaster,David Bowie,0.31,0.403,0,-13.664,1,0.0326,0.0726,9.27e-05,0.139,0.466,134.48
Yesterday - Remastered 2009,The Beatles,0.332,0.179,5,-11.83,1,0.0326,0.879,0.0,0.0886,0.315,96.529
Iron Man,Black Sabbath,0.332,0.769,9,-11.503,1,0.0765,0.00367,0.00413,0.0372,0.525,157.378
We Will Rock You - Remastered 2011,Queen,0.692,0.497,2,-7.316,1,0.119,0.676,0.0,0.259,0.475,81.308
Losing My Religion,R.E.M.,0.666,0.855,9,-5.051,0,0.0295,0.179,1.2e-06,0.0987,0.803,125.639
I Love Rock 'N Roll,Joan Jett & The Blackhearts,0.535,0.716,4,-5.025,1,0.0431,0.326,0.0,0.659,0.901,94.379
Poison,Alice Cooper,0.28,0.908,2,-5.509,0,0.109,0.0327,8.85e-06,0.18,0.26,118.698
Layla,Derek & The Dominos,0.404,0.902,1,-3.88,1,0.0665,0.577,0.297,0.287,0.497,115.669
