title,artist
"Sweet Sue, Just You",Georges Metaxa
Bolero,Maurice Ravel
Casey Jones,Furry Lewis
"Stealin', Stealin'",Memphis Jug Band
Fashionette,Harold Collins & his Orchestra
Singin' the Blues,Frankie Trumbauer
"Dark Was the Night, Cold Was the Ground",Blind Willie Johnson
Russian Lullaby,Roger Wolfe Kahn and His Orchestra
Matchbox Blues,Blind Lemon Jefferson
"Two Black Crows, Parts 1 & 2 (The Early Bird Catches The Worm)",Moran and Mack
Pan American Blues,DeFord Bailey
Dance Under the Willows,Pawlo Humeniuk
The Peanut Vendor,Rita Montaner
Are You Lonesome Tonight?,Vaughn DeLeath
My Heart Stood Still,Paul Whiteman and His Concert Orchestra
"Gimme a Lil' Kiss, Will Ya, Huh?",Jack Smith
Breezin' Along With the Breeze,Johnny Marvin
Come On Boys Lets Do That Messin' Around,Blind Blake
"Chua, Chua",Fernando Saunders
Ave Maria,Pedro Celestino Montenegro
Turkey In De Straw,Gid Tanner & His Skillet Lickers
Bird Song At Eventide,Henry Hall & His Orchestra
She Knows Her Onions,The Happiness Boys
See See Rider Blues,Ma Rainey
The Titanic,Ernest Stoneman
All Alone,Paul Sanchez
Les Roses Blanches,Berthe Sylva
When Sergeant Major's On Parade,Cyril Normand
Charleston,Golden Gate Orchestra
Don't Let Your Deal Go Down,Charlie Poole
Ogo-Pogo,Savoy Havana band
Dinah,The Revelers
"Honey, I'm in Love With You",Paul Immanuel Owens
Charleston,Savoy Orpheans
Rhapsody in Blue,George Gershwin
Charleston,Arthur Gibbs and His Gang
It Ain't Gonna Rain No Mo',Wendell Hall
The Second Minuet,Webster Booth
Keep My Skillet Good & Greasy,Uncle Dave Macon
Deep In My Heart,Franklyn Baur
T'ain't Nobody's Business If I Do,Clarence Williams
Pasadena,Bert Firman
Rose Marie,Paul Fisher
I Want to Be Happy,Vincent Youmans
Bobbed Haired Bobby,Arcadian Serenaders
Yes! We Have No Bananas,"William Reese ""Billy"" Jones"
Dreamy Melody,Art Landry & His Orchestra
St Louis Blues,W.C. Handy
Tristezas do Jeca,Orquestra Brasil-América
Horsey Keep Your Tail Up,Melville Gideon
Orly's Creole Trombone,Kid Ory
(I Wish I Could) Shimmy Like My Sister Kate,The Virginians
Carolina in the Morning,Marion Williams
Borboleta Nao & Ave,Baiano
I Belong to Glasgow,Will Fyffe
(I Wish I Could) Shimmy Like My Sister Kate,The Georgians
Wolverine Blues,Gene Rodemich’s Orchestra
Mr Gallagher & Mr Shean,Ed Gallagher & Al Shean
Sheik of Araby,Ray Miller and His Orchestra
My Word You Do Look Queer,Ernest Hastings
The Sheik,Club Royal Orchestra
Rose of The Rio Grande,IV 'Bud' Sheppard
Lonesome Mama Blues,Mamie Smith and Her Jazz Hounds
Quadra de Amor,Indio
Chicago (That Toddlin' Town),Bar Harbor Society Orchestra
In May Time (I Learned to Love),Edwin Dale
Sheik of Araby,Pianola Roll
Coracao Divinal,J. Rezende
"Lovin' Sam, The Sheik of Alabam",No Artist
Bright Eyes,Paul Grabowsky
Arise O Sun,Richard Crooks
Cross of Gold,William Jennings Bryan
Caresses,Paul Personne
Night May Have It's Sadness,Patrick Waddington
I'm Nobody's Baby,Paul Biese Orchestra
Mimosa,Leopoldo Fróes
Ours is a Nice 'ouse Ours Is,Alfred Lester
Bimini Bay,Benson Orchestra of Chicago
I Know Where The Flies Go in Summertime,Walter Williams
Cuban Moon,Carl Fenton’s Orchestra
Chloe,Al Cohn
Prelude in G Minor,Sergei Vasilievich Rachmaninoff
Girl of My Dreams,John Holt
Invitation To The Waltz,The Philadelphia Orchestra
Let the Rest of the World Go By,Elizabeth Spencer
Beer Barrel Polka (Roll out the Barrel),Will Glahé
I miss you so,The Cats and the Fiddle
The Lion Sleeps Tonight,Solomon Linda & The Evening Birds
I Don't Know,Cripple Clarence Lofton
Frenesi,Juan García Esquivel
No Rancho Fundo,Sivuca
I Can't Get Started,Bunny Berigan
Whistle While You Work,Seven Dwarfs
Jeepers Creepers,Al Donahue
Goin' Down in Galilee,Kokomo Arnold
September Song,Walter Huston
I Don't Do Things Like That,Tommy Trinder
Love Walked In,Kenny Baker
Fascinating Rhythm,Sol Hoʻopiʻi
Indian Love Call,Jeanette MacDonald
This Year's Kisses,Margaret McCrae
The Flat Foot Floogie,Slim & Slam
With Plenty of Money & You,Henry Busse Orchestra
You Can't Stop Me from Dreaming,Teddy Wilson and His Orchestra
Bonaparte's Retreat,W.H. Stepp
"Goodnight, Irene",Lead Belly
These Foolish Things (Remind Me of You),Leslie “Hutch” Hutchinson
On The Good Ship Lollipop,Shirley Temple
I Want to Be a Cowboy's Sweetheart,Patsy Montana
El Dia Que Me Quieras,Carlos Gardel
She's a Latin From Manhattan,Victor Feldman
I'm in the Mood For Love,Little Jack Little
And Then Some,Ozzie Nelson and His Orchestra
Lullaby of Broadway,Dick Powell
Stop That Thing,Sleepy John Estes
Every Man a King,Huey Pierce Long
The Music Goes Round & Round,Riley / Farley Orchestra
"East of the Sun, West of the Moon",Tom Coakley And His Palace Hotel Orchestra
The Carioca,Enric Madriguera
I Only Have Eyes For You,Scott Wood & His Orchestra
The Carioca,Harry Sosnik & his Orchestra
One Night of Love,Grace Moore
Inka Dinka Doo,Jimmy Durante
Cidade Maravilhosa,Aurora Miranda
Hawkin's Rag,Gid Tanner
Mal Hombre,Lydia Mendoza
All I Do Is Dream Of You,Jan Garber & His Orchestra
Old Spinning Wheel,Emil Velasco
You're the Top,Paul Haig
Cocktails For Two,Will Osborne & His Orchestra
Gold Digger's Song (We're in The Money),Dick Powell and his Orchestra
The Wedding of Mister Mickey Mouse,The BBC Dance Orchestra
I Like a Guy What Takes His Time,Mae West
April in Paris,Henry King
Linda Morena,Mário Reis & Lamartine Babo
Lover,Greta Keller
It's the Talk of the Town,Fletcher Henderson and His Orchestra
How Come You Do Me Like You Do,Spike Hughes and His Negro Orchestra
Jazz Me Blues,Joe Venuti And His Blue Six
Hold Me,Hotel Commodore Dance Orchestra
Willow Weep For Me,Ted Brown
Goopy Geer,Pat O'Malley
O Teu Cabelo Nao Nega,Castro Barbosa
Underneath the Harlem Moon,Joe Rines
You're Blase,Gus Arnheim's Cocoanut Grove Orchestra
In a Shanty in Old Shanty Town,Ted Blackall
"Love, You Funny Thing",Louis Armstrong & His Orchestra
How Deep Is the Ocean,Paul Motian
Andorinha Preta,Breno Ferreira
Smoke Gets in Your Eyes,Charlie Landsborough
Sweet & Lovely,Gus Arnheim
Sugar Blues,Clyde McCoy
Tico-Tico no Fuba,Orquestra Colbaz
Oh Donna Clara,Layton & Johnstone
"Bacon, Beans and Limousines",Will Rogers
Love for Sale,Libby Holman
Time On My Hands (You In My Arms),Smith Ballew & His Orchestra
Siboney,Alfredo Britto and his Siboney Orchestra
Home,Peter van Steeden
Experience Blues,Ruth Willis
Puttin' on the Ritz,Harry Richman
The Peanut Vendor,Don Azpiazú and His Havana Casino Orchestra
Chant of the Jungle,Roy Ingraham
Dancing With Tears in My Eyes,Nat Shilkret and His Orchestra
Happy Days Are Here Again,Benny Meroff & His Orchestra
When It's Springtime in The Rockies,Hilo Hawaiian Orchestra
If I Could Be With You One Hour Tonight,McKinney’s Cotton Pickers
Sitting on Top of the World,Mississippi Sheiks
When It's Springtime in The Rockies,Ben Steneker
Walk Right In,Cannon’s Jug Stompers
I'm in The Market For You,Van Phillips
My Black Mama,Son House
Nightlife,Mary Lou Williams
My Baby Just Cares For Me,Jack Payne
Dancing With Tears in My Eyes,Regent Club Orchestra
Bunkey-Doodle-I-Doh,Leslie Sarony
The Deacon's Hop,Big Jay McNeely's Blue Jays
Sneakin' Around,Rudy Render
Cruising Down the River,Blue Barron and His Orchestra
Broken Hearted,Eddie Williams & His Brown Buddies
Blues Stay Away From Me,Eddie Crosby
I'll Always Be in Love with You,The X-Rays
Some Enchanted Evening,Ezio Pinza
The Pussy Cat Song (Nyot Nyow!),Patty Andrews
Numbers Boogie,Sugar Chile Robinson
Jealous Heart,Al Morgan
Doby's Boogie,Freddie Mitchell
Ramblin' Rose,Tony Pastor
"Put 'em in a Box, Tie 'em With a Ribbon",Ray McKinley and His Orchestra
A Little Bird Told Me,Smokey Rogers
The Old Master Painter,Richard Hayes
Gamblin' Polka Dot Blues,Tommy Duncan
One Has My Name the Other Has My Heart,Bob Eberly
I Wish I Knew,Dolph Hewitt
Hadacol Boogie,Bill Nettles & His Dixie Blue Boys
Steel Guitar Ramble,Cecil Campbell & His Tennessee Ramblers
Somebody Done Stole My Cherry Red,Eddie “Cleanhead” Vinson
Chiquita bacana,Emilinha Borba
Walkin' Around,Paul Williams
Before You Call,Dave Landers
Johnson Rag,Jack Teter Trio
Late After Hours,Great Gates
Page Boy Shuffle,Joe Thomas
"Money, Marbles And Chalk",Captain Stubby & The Buccaneers
Hip Shakin' Mama,Chubby Newsome
Double Talkin' Woman,Earl Nunn
Ethel Mae,L.C. Williams
Mary Is Fine,Clarence “Gatemouth” Brown
A Little Bird Told Me,Blue Lu Barker
You Call Everybody Darlin',Al Trace
Life Gits Tee-Jus Don't It,Carson Robison and His Pleasant Valley Boys
Corn Bread,Hal Singer Sextette
Move On Up a Little Higher,Mahalia Jackson
Peepin' Thru the Keyhole (Watching Jole Blon),Cliffie Stone and His Square Dance Band
My Heart Belongs to You,Arbee Stidham
"You Can't Be True, Dear",Ken Griffin
Now Is the Hour (Maori Farewell Song),Gracie Fields
I'm My Own Grandpa,Lonzo & Oscar
My Fault,Brownie McGhee
"We're Gonna Rock, We're Gonna Roll",Wild Bill Moore
"Signed, Sealed And Delivered",Bob Walsh
Wrapped Up in a Dream,The Do Ray Me Trio
Baby Face,Art Mooney & His Orchestra
What Have I Done?,Hadda Brooks Trio
I Beg Your Pardon,Francis Craig and His Orchestra
I'm Looking Over a Four Leaf Clover,George Trevare
Ebony Rhapsody,Rosetta Howard
The Gods Were Angry With Me,Eddie Kirk
Maybe You'll Be There,Gordon Jenkins & His Orchestra
A Little Bird Told Me,Paula Watson
Slap Her Down Again Paw,Esmereldy And Her Novelty Band
Elevator Boogie,Mabel Scott
Great Long Pistol,Jerry Irby & His Texas Rangers
X-Temperaneous Boogie,Camille Howard
Tear Drop Blues,Jimmy Liggins & His Drops of Joy
Cryin' In My Beer,Jerry Irby & The Texas Ranchers
"Hair Of Gold, Eyes Of Blue",Gordon MacRae
My Happiness,Jon Steele
Freedom Train Blues,Melvin Jackson
Dear Oakie,Jack Rivers
Recess in Heaven,Dan Grissom & Ebb Tones
Sweet Georgia Brown,Brother Bones & His Shadows
Milky White Way,The Trumpeteers
Tramp On The Street,Jerry Garcia
Cocaine Blues,Roy Hogsed
Out of the Blue,Hadda Brooks
That's Your Last Boogie,Joe Swift
Go Long,The Dixieaires
You Sure Look Good To Me,The Big Three Trio
Shuffle Woogie,Joe Lutcher
Sneaky Pete,Bull Moose Jackson & His Buffalo Bearcats
Near You,Francis Craig
This Land is Your Land,Woody Guthrie
Don't You Think I Oughta Know,Bill Johnson & his Musical Notes
"Open The Door, Richard!",Jack McVea
Red Top,Gene Ammons Sextet
Zip-A-Dee-Doo-Dah,James Baskett
Fool That I Am,Floyd Hunt Quartette
Shake The Boogie,Sonny Boy Williamson
Temptation (Tim-Tayshun),Red Ingle and the Natural Seven
El rancho grande,Marisa Fiordaliso
Jole Blon's Sister,Moon Mullican and His Showboys
Swanee River Boogie,Albert Ammons
"Open The Door, Richard!",The Three Flames
Valzer delle candele (Auld lang syne),Carla Dupont
Feudin' & Fightin',Dorothy Shay
amado mio,Mara Mauri
Asa Branca,Luiz Gonzaga
How Soon (Will I Be Seeing You),Jack Owens
Maladie D'Amour,Henri Salvador
Make Room In Your Heart For A Friend,Wiley Walker
R. M. Blues,Roy Milton
Round About Midnight,Thelonious Monk
The Very Thought of You,Luis Russell and His Orchestra
Have I Told You Lately (That I Love You),Foy Willing & The Riders of The Purple Sage
The Honeydripper,Cab Calloway
Harriet,Red Elvises
Cement Mixer (Put-Ti-Put-Ti),Slim Gaillard Trio
Petit Papa Noel,Tino Rossi
Inflation,Zeke Manners
Voo-It! Voo-It!,The Blues Woman
Rainbow At Midnight,Carlisle Brothers
To Each His Own,The Modernaires
Atomic Power,The Buchanan Brothers
Blue Flame,Lenny Lewis And His Orchestra
Chickery Chick,Carroll Gibbons
Jole Blon,Harry Choates
Amazing Grace,The Dixie Hummingbirds
Left a Good Deal in Mobile,Herb Jeffries
I Want To Be Sure,Celestine
Maria Bethania,Nelson Gonçalves
Tender Hearted Sue,The Rambling Rogue
A Little On The Lonely Side,Frankie Carle and his Orchestra
Lili Marlene,Marlene Dietrich
Bolinha de Papel,Anjos do Inferno
My Dreams Are Getting Better All the Time,The Phil Moore Four
Chopin's Polonaise,Carmen Cavallaro
Sentimental Journey,Hal McIntyre & His Orchestra
My Dreams Are Getting Better All the Time,Johnny Long
Begin the Beguine,"Eddie Heywood, Jr."
My Heart Tells Me (Should I Believe My Heart),The Glen Gray Casa Loma Orchestra
Mexico Joe,Ivie Anderson
Texas Blues,Foy Willing
Body and Soul,Coleman Hawkins and His Orchestra
If It's Wrong to Love You,Charles Mitchell
When My Blue Moon Turns To Gold Again,Cindy Walker
"Is You Is, or Is You Ain't",Cootie Williams and His Orchestra
Don't You Sweetheart Me,Lawrence Welk & His Orchestra
Estrellita,Harry James Orchestra
It's Love-Love-Love,The King Sisters
Stormy Weather (Keeps Rainin' All the Time),Lena Horne
As Time Goes By,Dooley Wilson
Don't Stop Now,Bonnie Davis
Please Be Careful (If You Can't Be Good),Boone's Jumping Jacks
A Dama de Vermelho,Duduca & Dalvan
From Twilight 'Till Dawn,Ceele Burke & His Orchestra
There's a Star Spangled Banner Waving Somewhere,Boxcar Willie
Rubber Bounce,Sonny Boy Williams
Exaltacao a Bahia,Heleninha Costa
Put Your Arms Around Me Honey,Dick Kuhn
Oklahoma!,Richard Rodgers
Alza Manolita (As Cartas Nao Mentem Jamais),Osny Silva
Stormy Monday Blues,Earl Hines and His Orchestra
Deep in the Heart of Texas,Alvino Rey
See See Rider Blues,Bea Booze
C Blue,Barney Bigard
Just Kiddin' Around,Artie Shaw and His Orchestra
Let's Be Friends,Lil Green
Praise the Lord and Pass the Ammunition,The Southern Sons
Der Fuhrer's Face,Spike Jones and His City Slickers
My Devotion,Charlie Spivak
(There'll Be Bluebirds Over) the White Cliffs of Dover,Jean Cerchi
Ai! Que Saudades da Amelia,Ataulfo Alves
I Said No,Alvino Rey & His Orchestra
Johnny Doughboy Found A Rose In Ireland,Kay Kyser & His Orchestra
Jersey Bounce,Royal Air Force
Emilia,Vassourinha
Chattanooga Choo Choo,Harry Roy
Ferryboat Serenade,Dick Robertson
It's a Great Day for the Irish,The Jesters
Ferryboat Serenade,The Tic Toc Rhythm Orchestra
Key to the Highway,Big Bill Broonzy
Ala Li La,Carlos Galhardo
I Don't Want to Set the World On Fire,Tommy Tucker Time
The Wise Old Owl,Al Donahue and His Orchestra
She Belongs to The Devil,Washboard Sam
Aurora,Joel & Gaúcho
Vine Street Blues,Jay McShann
Make Believe Island,Mitchell Ayres
Scrub Me Mama With A Boogie Beat,Swing Republic
Ma (He's Making Eyes At Me),Dick Robertson & His Orchestra
I'm Nobody's Baby,Nat Gonella
O Samba da Minha Terra,Bando da Lua
Were You There?,Roland Hayes
Practice Makes Perfect,Bob Chester & His Orchestra
Tom Dooley,Frank Proffitt
On the Isle of May,Connee Boswell
There I Go,Will Bradley and His Orchestra
Passarinho do Relogio (Cuco),Aracy de Almeida
The Clouds,The Spacemen
Petite Fleur (Little Flower),Chris Barber’s Jazz Band
Only Sixteen,Craig Douglas
Mary Lou,Ronnie Hawkins
What Do You Want to Make Those Eyes At Me For?,Emile Ford & The Checkmates
There's A Big Wheel,Wilma Lee Cooper
So Fine,The Fiestas
Sleep Walk,Santo & Johnny
Tall Cool One,The Wailers
Sea of Love,Phil Phillips & The Twilights
There Is Something On Your Mind,Big Jay McNeely & Band
Sea of Love,Phil Phillips
Arrivederci,Marino Barreto Jr
Forever,Joe Damiano
Since I Don't Have You,The Skyliners
The Battle Of New Orleans,Jimmy Driftwood
Sea Cruise,Frankie Ford
Tiger,Fabian
Sorry (I Ran All the Way Home),The Impalas
In the Mood,Ernie Fields
Old Moon,Betty Foley
The Big Hurt,Miss Toni Fisher
16 Candles,The Crests
Seven Little Girls Sitting in the Back Seat,Paul Evans
Pretty Girls Everywhere,Eugene Church
Here Comes the Summer,Jerry Keller
Deck of Cards,Wink Martindale
Pink Shoe Laces,Dodie Stevens
Julia,Johnny Dorelli
My Heart Is an Open Book,Carl Dobkins Jr.
Quiet Village,Martin Denny
Een Beetje Meer,Teddy Scholten
Manhattan Spiritual,Reg Owen Orchestra
Don't You Know,Della Reese
Tell Him No,Travis & Bob
Gotta Travel On,Billy Grammer
Hushabye,The Mystics
Peter Gunn,Ray Anthony and His Orchestra
Linda Lu,Ray Sharpe
Makin' Love,Floyd Robinson
Uh! Oh! Part 2,The Nutty Squirrels
Tom Dooley,The Kingston Trio
Tequila,The Champs
When,Kalin Twins
Tequila,CHAMPS
Raunchy,Ernie Freeman
Endless Sleep,Jody Reynolds
The Chipmunk Song (Christmas Don't Be Late),The Chipmunks
Little Star,The Elegants
Get a Job,The Silhouettes
More Than Ever (Coma Prima),Marino Marini ed il suo Quartetto
Chantilly Lace,The Big Bopper
Don't You Just Know It,Huey “Piano” Smith & The Clowns
To Know Him is to Love Him,The Teddy Bears
Tears On My Pillow,The Imperials
We Belong Together,Robert & Johnny
Rumble,Link Wray
Rockin' Robin,Bobby Day
He's Got the Whole World in His Hands,Laurie London
Your Name Is Beautiful,Carl Smith
Do You Want to Dance?,Bobby Freeman
The End,Earl Grant
Oh Julie,The Crescendos
Stop The World (And Let Me Off),Johnnie Wright
Book of Love,The Monotones
Susie Darlin',Robin Luke
Been So Long,The Pastels
Raunchy,Bill Justis & His Orchestra
One Summer Night,The Danleers
Love Bug Crawl,Jimmy Edwards
Born Too Late,The Poni-Tails
Please Pass The Biscuits,Gene Sullivan
Down The Aisle Of Love,The Quin-Tones
Hoots Mon,Lord Rockingham's XI
The Story of My Life,Michael Holliday
Melodie D'amour,Edmundo Ros
Itchy Twitchy Feeling,Bobby Hendricks
La Dee Dah,Billy & Lillie
Little Darling,Lana Bittencourt
Short Shorts,Royal Teens
So Tough,Original Casuals
Young Love,Tab Hunter
"Tonite, Tonite",The Mello-Kings
Love is Strange,Mickey & Sylvia
Raunchy,Bill Justis
You Can Make It if You Try,Gene Allison
With All My Heart,Jodie Sands
Silhouettes,The Rays
Party Doll,Buddy Knox
Singing The Blues,Tommy Steele
"Over the Mountain, Across the Sea",Johnnie & Joe
Mr Lee,The Bobbettes
Butterfly,Charlie Gracie
Net als toen,Corry Brokken
Rocking Pneumonia And The Boogie Woogie Flu (Parts 1 & 2),Huey “Piano” Smith
Little Bitty Pretty One,Thurston Harris
Little Darlin',The Gladiolas
"Buzz, Buzz, Buzz",The Hollywood Flames
Der lachende Vagabund,Fred Bertelmann
I'm Gonna Sit Right Down and Write Myself a Letter,Billy Williams
Ik sta op wacht,Bobbejaan Schoepen
Oh Billy Boy,Club Argentina
Kohlerliesel,Die Heimatsänger
Sei Zufrieden mit dem Heute,Das Lukas-Trio
Teenage Crush,Tommy Sands
Rainbow,Russ Hamilton
"Cindy, Oh Cindy",Wolfgang Sauer
Mocinho Bonito,Dóris Monteiro
Ik sta op wacht,Joop de Knegt
Susie Q,Dale Hawkins
Marianne,Terry Gilkyson & the Easy Riders
"Happy, Happy Birthday Baby",The Tune Weavers
Teardrops,Lee Andrews & The Hearts
Bad Boy,The Jive Bombers
I'm Stickin' with You,Jimmy Bowen
Poor Man's Riches,Benny Barnes
The Banana Boat Song,The Tarriers
Wayward Wind,Gogi Grant
It's Almost Tomorrow,Dreamweavers
Eddie My love,The Teen Queens
Poor People of Paris,"Les Baxter, His Chorus and Orchestra"
Moonglow & Theme From Picnic,Morris Stoloff
The Flying Saucer (Parts 1 and 2),Buchanan & Goodman
Transfusion,Nervous Norvus
Slow Walk,Sil Austin
The Fool,Sanford Clark
Stranded in the Jungle,The Vibrations
Zambezi,Lou Busch
A Thousand Miles Away,The Heartbeats
A Casual Look,The Six Teens
Stranded in The Jungle,The Cadets
Oh Johnny,Tante Leen
Tricky,Gus Jenkins
Smokie,Die Sieben Raben
Maruzzella,Renato Carosone
Conceicao,Cauby Peixoto
Juke Box Blues,June Carter Cash
Kaspische Zee,Jaak De Voght
Ballad of Davy Crockett,Annie Cordy
Je Vais Revoir ma Blonde,Darío Moreno
Mack the Knife,Dick Hyman
Little Girl of Mine,The Cleftones
I Can't Quit You Baby,Otis Rush
I Put a Spell On You,Screamin’ Jay Hawkins
Ka-Ding Dong,The G-Clefs
Tonight You Belong to Me,Patience & Prudence
Black Denim Trousers,The Cheers
Teen Age Prayer,Gloria Mann
Ballad of Davy Crockett,Bill Hayes
Nuttin for Christmas,Joe Ward
Let Me Go Lover,Joan Weber
Adorable,The Colts
Cry Me a River,Julie London
Why Don't You Write Me?,The Jacks
Softly Softly,Ruby Murray
Story Untold,The Nutmegs
Yellow Rose of Texas,Johnny Desmond
Ballad of Davy Crockett,Fess Parker
Don't Start Me Talkin',Sonny Boy Williamson
Soldier Boy,The Four Fellows
L'Homme et L'Enfant (The Little Boy and the Old Man),Eddie Constantine
Les Lavandieres du Portugal,Jacqueline François
I Hear You Knockin',Gale Storm
Speedo,The Cadillacs
Walking the Blues,Willie Dixon
"Daddy, You Know What?",Jim Wilson
When You Dance You Can Really Love,The Turbans
Blue Star (The Medic Theme),Cyril Stapleton’s Orchestra
At My Front Door (Crazy Little Mama),The El Dorados
"Those Lonely, Lonely Nights",Earl King
"Hey, Mr Banjo",Silvio Francesco
Come Home,Bubber Johnson
